#,Node,Feature,TestCase,Result,ResultType,ExecutedOn,Description,Function,Module,Devices,KnownIssue
77,gw2,Regression,FtOtSoRtBgpPlFn032,Pass,Mapped,2024-01-03 01:57:56,Test case passed,TestBGPVeLag.test_ft_bgp_peer_traffic_check,routing/BGP/test_bgp.py,"V3, V4",
78,gw2,Regression,FtOtSoRtBgp4Fn070,Pass,Mapped,2024-01-03 01:57:56,Test case passed,TestBGPVeLag.test_ft_bgp_peer_traffic_check,routing/BGP/test_bgp.py,"V3, V4",
79,gw2,Regression,FtOtSoRtBgp4Fn069,Pass,Mapped,2024-01-03 01:57:56,Test case passed,TestBGPVeLag.test_ft_bgp_peer_traffic_check,routing/BGP/test_bgp.py,"V3, V4",
80,gw3,VRF-Lite,FtOpSoRoVrfScl058,Fail,Mapped,2024-01-03 01:58:53,"Command 'show vrf' failed to give prompt, recovered using CTRL+C",test_vrf_reload,routing/VRF/test_vrf_scale.py,"V1, V2",
81,gw2,Regression,bgpl3lag_traffic,Pass,Mapped,2024-01-03 02:02:28,Test case passed,TestBGPL3Lag.test_ft_bgp_l3lag_peer_traffic_check,routing/BGP/test_bgp.py,"V3, V4",
82,gw3,Regression,FtOpSoRtIpv4Fn003,Fail,Mapped,2024-01-03 02:07:55,Test case Failed.,test_l3_v4_route_po_1,routing/test_ip.py,"V1, V2",
83,gw3,Regression,ft_ipv4_address_check ,Pass,Mapped,2024-01-03 02:08:02,Test case passed,test_ft_ping_v4_v6_vlan,routing/test_ip.py,"V1, V2",
84,gw3,Regression,ft_ipv6_address_check ,Pass,Mapped,2024-01-03 02:08:02,Test case passed,test_ft_ping_v4_v6_vlan,routing/test_ip.py,"V1, V2",
85,gw3,Regression,ft_ping_vlan ,Pass,Mapped,2024-01-03 02:08:02,Test case passed,test_ft_ping_v4_v6_vlan,routing/test_ip.py,"V1, V2",
86,gw3,Regression,CETA_SONIC_40640,Pass,Mapped,2024-01-03 02:08:24,Test case passed,test_ft_ping_v4_v6_after_ip_change_pc,routing/test_ip.py,"V1, V2",
87,gw3,Regression,ft_ip_address_check_pc,Pass,Mapped,2024-01-03 02:08:24,Test case passed,test_ft_ping_v4_v6_after_ip_change_pc,routing/test_ip.py,"V1, V2",
88,gw3,Regression,ft_ip6_address_check_pc,Pass,Mapped,2024-01-03 02:08:24,Test case passed,test_ft_ping_v4_v6_after_ip_change_pc,routing/test_ip.py,"V1, V2",
89,gw3,Regression,ft_ping6_after_ip_change,Pass,Mapped,2024-01-03 02:08:24,Test case passed,test_ft_ping_v4_v6_after_ip_change_pc,routing/test_ip.py,"V1, V2",
90,gw3,Regression,ft_ping_after_ip_change,Pass,Mapped,2024-01-03 02:08:24,Test case passed,test_ft_ping_v4_v6_after_ip_change_pc,routing/test_ip.py,"V1, V2",
91,gw2,sFlow Hardening,FtOpSfFn008,Pass,SubTest,2024-01-03 02:08:26,Successfully verified sFlow sampling functionality.,test_ft_sflow_sampling_v6_sFlow_collector,system/test_sflow.py,"V3, V4",
92,gw2,sFlow Hardening,FtOpSfFn004,Fail,SubTest,2024-01-03 02:08:26,sFlow collector failed to receive sflow sample packets with default sampling rate.,test_ft_sflow_sampling_v6_sFlow_collector,system/test_sflow.py,"V3, V4",
93,gw2,sFlow Hardening,FtOpSfFn005,Pass,Mapped,2024-01-03 02:08:56,Successfully verified sFlow sampling functionality.,test_ft_sflow_max_sflow_collector_config,system/test_sflow.py,"V3, V4",
94,gw3,RIF Counters,RIF_COUNT_FUNC_0031,Fail,Mapped,2024-01-03 02:09:35,traffic verification is failed,test_ft_ip6_static_route_traffic_forward_blackhole,routing/test_ip.py,"V1, V2",
95,gw3,Regression,ft_ip6_static_route_traffic_forward ,Fail,Mapped,2024-01-03 02:09:35,traffic verification is failed,test_ft_ip6_static_route_traffic_forward_blackhole,routing/test_ip.py,"V1, V2",
96,gw3,Regression,ft_ip6_static_route_traffic_fwd_blackhole ,Fail,Mapped,2024-01-03 02:09:35,traffic verification is failed,test_ft_ip6_static_route_traffic_forward_blackhole,routing/test_ip.py,"V1, V2",
97,gw3,Regression,ft_ip6_connected_host_traffic_forward,Fail,Mapped,2024-01-03 02:09:35,traffic verification is failed,test_ft_ip6_static_route_traffic_forward_blackhole,routing/test_ip.py,"V1, V2",
98,gw3,RIF Counters,RIF_COUNT_FUNC_001,Unsupported,SubTest,2024-01-03 02:09:35,rif counters update unsupported on Physical-Interface routing interface,test_ft_ip6_static_route_traffic_forward_blackhole,routing/test_ip.py,"V1, V2",
99,gw3,Regression,ft_ip_static_route_traffic_forward,Pass,Mapped,2024-01-03 02:10:34,Test case passed,test_ft_ip_static_route_traffic_forward,routing/test_ip.py,"V1, V2",
100,gw3,RIF Counters,RIF_COUNT_FUNC_001,Pass,SubTest,2024-01-03 02:10:34,rif counters update Successful on Physical_Interface routing interface,test_ft_ip_static_route_traffic_forward,routing/test_ip.py,"V1, V2",
101,gw3,RIF Counters,RIF_COUNT_FUNC_021,Pass,SubTest,2024-01-03 02:10:34,rif counters update Successful on Phy_Shut_noShut routing interface,test_ft_ip_static_route_traffic_forward,routing/test_ip.py,"V1, V2",
102,gw3,Regression,ft_ip6_L2_L3_translation,Pass,Mapped,2024-01-03 02:12:06,Test case passed,test_ft_ip_v4_v6_L2_L3_translation,routing/test_ip.py,"V1, V2",
103,gw3,Regression,ft_ip_L2_L3_translation,Pass,Mapped,2024-01-03 02:12:06,Test case passed,test_ft_ip_v4_v6_L2_L3_translation,routing/test_ip.py,"V1, V2",
104,gw3,Regression,ipv6_intf_order,Pass,Mapped,2024-01-03 02:12:38,Test case passed,test_ft_verify_interfaces_order,routing/test_ip.py,"V1, V2",
105,gw3,Regression,ipv4_intf_order,Pass,Mapped,2024-01-03 02:12:38,Test case passed,test_ft_verify_interfaces_order,routing/test_ip.py,"V1, V2",
106,gw2,sFlow Hardening,FtOpSfFn017,Pass,Mapped,2024-01-03 02:15:26,Test case passed,test_ft_system_config_mgmt_verifying_config_with_save_reboot_sflow,system/test_sflow.py,"V3, V4",
107,gw3,Regression,FtOtSoRtBgpPlFn025,Pass,Mapped,2024-01-03 02:22:47,Test case passed,TestBGPRrTraffic.test_ft_bgp6_rr_traffic_check,routing/BGP/test_bgp_rr_traffic.py,"V1, V2",
108,gw7,Regression,FtOpSoRtPerfFn052,Fail,Mapped,2024-01-03 02:30:17,Route table is not updated after advertising of routes on TG,test_ft_l3_performance_enhancements_v4_route_intstall_withdraw,routing/test_l3_performance.py,V1,
109,gw7,L3 Performance enhancements,FtOpSoRtPerfFn026,Fail,Mapped,2024-01-03 02:30:17,Route table is not updated after advertising of routes on TG,test_ft_l3_performance_enhancements_v4_route_intstall_withdraw,routing/test_l3_performance.py,V1,
110,gw7,L3 Performance enhancements,FtOpSoRtPerfFn025,Pass,SubTest,2024-01-03 02:30:17,Test case passed,test_ft_l3_performance_enhancements_v4_route_intstall_withdraw,routing/test_l3_performance.py,V1,
111,gw7,Regression,FtOpSoRtPerfFn053,Pass,SubTest,2024-01-03 02:30:17,Test case passed,test_ft_l3_performance_enhancements_v4_route_intstall_withdraw,routing/test_l3_performance.py,V1,
112,gw5,Regression,ft_ipv6_neighbor_static_entry,Pass,Mapped,2024-01-03 02:31:03,Test case passed,test_ft_ipv6_neighbor_entry,routing/test_ndp.py,V2,
113,gw5,Regression,ft_ipv6_ndp_clear_cache,Pass,Mapped,2024-01-03 02:31:03,Test case passed,test_ft_ipv6_neighbor_entry,routing/test_ndp.py,V2,
114,gw5,Regression,ft_ipv6_neighbor_entry,Pass,Mapped,2024-01-03 02:31:03,Test case passed,test_ft_ipv6_neighbor_entry,routing/test_ndp.py,V2,
115,gw4,NAT,ft_static_nat_docker_restart,EnvFail,Mapped,2024-01-03 02:31:23,Console hang observed. Exiting.,test_ft_nat_docker_restart,routing/NAT/test_nat.py,V3,
116,gw4,NAT,ft_static_napt_docker_restart,EnvFail,Mapped,2024-01-03 02:31:23,Console hang observed. Exiting.,test_ft_nat_docker_restart,routing/NAT/test_nat.py,V3,
117,gw4,NAT,ft_dynamic_napt_docker_restart,EnvFail,Mapped,2024-01-03 02:31:23,Console hang observed. Exiting.,test_ft_nat_docker_restart,routing/NAT/test_nat.py,V3,
118,gw7,Regression,FtOpSoRtPerfFn055,Pass,Mapped,2024-01-03 02:31:29,Test case passed,test_cli_validation_ip_address,routing/test_l3_performance.py,V1,
