#,Feature,TestCase,Result,ResultType,ExecutedOn,Description,Function,Module,Devices,KnownIssue
66,RIF Counters,RIF_COUNT_FUNC_0031,Fail,Mapped,2023-12-28 23:50:02,traffic verification is failed,test_ft_ip6_static_route_traffic_forward_blackhole,routing/test_ip.py,"V3, V4",
67,Regression,ft_ip6_static_route_traffic_forward ,Fail,Mapped,2023-12-28 23:50:02,traffic verification is failed,test_ft_ip6_static_route_traffic_forward_blackhole,routing/test_ip.py,"V3, V4",
68,Regression,ft_ip6_static_route_traffic_fwd_blackhole ,Fail,Mapped,2023-12-28 23:50:02,traffic verification is failed,test_ft_ip6_static_route_traffic_forward_blackhole,routing/test_ip.py,"V3, V4",
69,Regression,ft_ip6_connected_host_traffic_forward,Fail,Mapped,2023-12-28 23:50:02,traffic verification is failed,test_ft_ip6_static_route_traffic_forward_blackhole,routing/test_ip.py,"V3, V4",
70,RIF Counters,RIF_COUNT_FUNC_001,Unsupported,SubTest,2023-12-28 23:50:02,rif counters update unsupported on Physical-Interface routing interface,test_ft_ip6_static_route_traffic_forward_blackhole,routing/test_ip.py,"V3, V4",
71,Regression,ft_ip_static_route_traffic_forward,Fail,Mapped,2023-12-28 23:52:01,Test case Failed.,test_ft_ip_static_route_traffic_forward,routing/test_ip.py,"V3, V4",
72,RIF Counters,RIF_COUNT_FUNC_001,Pass,SubTest,2023-12-28 23:52:01,rif counters update Successful on Physical_Interface routing interface,test_ft_ip_static_route_traffic_forward,routing/test_ip.py,"V3, V4",
73,RIF Counters,RIF_COUNT_FUNC_021,Pass,SubTest,2023-12-28 23:52:01,rif counters update Successful on Phy_Shut_noShut routing interface,test_ft_ip_static_route_traffic_forward,routing/test_ip.py,"V3, V4",
74,Regression,ft_ip6_L2_L3_translation,Pass,Mapped,2023-12-28 23:53:33,Test case passed,test_ft_ip_v4_v6_L2_L3_translation,routing/test_ip.py,"V3, V4",
75,Regression,ft_ip_L2_L3_translation,Pass,Mapped,2023-12-28 23:53:33,Test case passed,test_ft_ip_v4_v6_L2_L3_translation,routing/test_ip.py,"V3, V4",
76,Regression,ipv6_intf_order,Pass,Mapped,2023-12-28 23:54:04,Test case passed,test_ft_verify_interfaces_order,routing/test_ip.py,"V3, V4",
77,Regression,ipv4_intf_order,Pass,Mapped,2023-12-28 23:54:04,Test case passed,test_ft_verify_interfaces_order,routing/test_ip.py,"V3, V4",
78,Sanity,l2_to_l3_port,Fail,Mapped,2023-12-28 23:59:59,Failed to port L2 config to L3 config,test_l2_to_l3_port,sanity/test_sanity_l3.py,"V3, V4",
79,Regression,FtOtSoRtBgpPlFn025,Pass,Mapped,2023-12-29 00:08:29,Test case passed,TestBGPRrTraffic.test_ft_bgp6_rr_traffic_check,routing/BGP/test_bgp_rr_traffic.py,"V3, V4",
