Feature,Regression?,TestCase,Result,Description,Function,Module,Devices,Analisis,DUT Defect ID,SQA Defect ID,Engineer,Only Pending
Regression,,FtFpSoQoSCoSCfg001,Pass,Test case passed,test_ft_qos_config_mgmt_verifying_config_with_save_reboot,qos/test_qos_save_reboot.py,V2,,,,,
Regression,,ft_arp_dynamic_renew_traffic_test,Pass,Test case passed,test_ft_arp_dynamic_renew_traffic_test,routing/test_arp.py,V4,,,,,
--NE--,,FtOpSfFn004,--NE--,--NE-- Check if gw2 is Dead,test_ft_sflow_sampling_v6_sFlow_collector,system/test_sflow.py,,,,,,
--NE--,,FtOpSfFn008,--NE--,--NE-- Check if gw2 is Dead,test_ft_sflow_sampling_v6_sFlow_collector,system/test_sflow.py,,,,,,
--NE--,,FtOpSfFn005,--NE--,--NE-- Check if gw2 is Dead,test_ft_sflow_max_sflow_collector_config,system/test_sflow.py,,,,,,
--NE--,,FtOpSfFn017,--NE--,--NE-- Check if gw2 is Dead,test_ft_system_config_mgmt_verifying_config_with_save_reboot_sflow,system/test_sflow.py,,,,,,
--NE--,,ft_ipv6_ndp_clear_cache,--NE--,--NE-- Check if gw4 is Dead,test_ft_ipv6_neighbor_entry,routing/test_ndp.py,,,,,,
--NE--,,ft_ipv6_neighbor_entry,--NE--,--NE-- Check if gw4 is Dead,test_ft_ipv6_neighbor_entry,routing/test_ndp.py,,,,,,
--NE--,,ft_ipv6_neighbor_static_entry,--NE--,--NE-- Check if gw4 is Dead,test_ft_ipv6_neighbor_entry,routing/test_ndp.py,,,,,,
--NE--,,ft_ip_static_ip_on_mgmt_intrf,--NE--,--NE-- Check if gw6 is Dead,test_ft_ip_static_ip_on_mgmt_intrf,system/test_device_mgmt.py,,,,,,
